Type,Date,Part of a policing operation,Policing operation,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Legislation,Object of search,Outcome,Outcome linked to object of search,Removal of more than just outer clothing
Person search,2023-07-01T03:07:00+00:00,,,53.961662,-2.011090,Male,10-17,,,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-07-01T15:07:00+00:00,,,53.997043,-1.504570,Female,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Articles for use in criminal damage,,False,
Person search,2023-07-01T16:07:00+00:00,,,53.954533,-1.084006,Male,25-34,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person search,2023-07-02T02:07:00+00:00,,,,,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-07-02T03:07:00+00:00,,,53.958346,-1.080242,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-07-02T04:07:00+00:00,,,53.956120,-1.067162,Male,,Other ethnic group - Not stated,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-07-02T14:07:00+00:00,,,53.985096,-1.491154,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person and Vehicle search,2023-07-03T14:07:00+00:00,,,53.997213,-1.528944,Female,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-07-03T15:07:00+00:00,,,54.003056,-1.559910,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-07-03T16:07:00+00:00,,,54.005470,-1.503570,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-07-03T21:07:00+00:00,,,54.485184,-0.620879,Male,10-17,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,True,
Person search,2023-07-04T07:07:00+00:00,,,53.958919,-1.080451,Female,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-07-04T10:07:00+00:00,,,53.957273,-1.084983,Male,over 34,White - Any other White background,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person and Vehicle search,2023-07-04T21:07:00+00:00,,,53.991696,-1.540812,Male,25-34,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-07-04T21:07:00+00:00,,,54.489018,-0.607257,Male,18-24,,White,,,,,
Person and Vehicle search,2023-07-04T21:07:00+00:00,,,53.991696,-1.540812,Male,18-24,White - Any other White background,,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person and Vehicle search,2023-07-05T06:07:00+00:00,,,54.236239,-1.262092,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-07-05T10:07:00+00:00,,,54.283667,-0.393201,Male,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,True,
Person search,2023-07-05T10:07:00+00:00,,,54.283667,-0.393201,Female,over 34,,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,,False,
Person search,2023-07-05T11:07:00+00:00,,,54.289852,-0.406021,Female,18-24,,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,,False,
Person and Vehicle search,2023-07-05T12:07:00+00:00,,,54.325226,-0.451938,Male,25-34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-07-05T17:07:00+00:00,,,54.007912,-1.568083,Male,18-24,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
Person search,2023-07-05T17:07:00+00:00,,,53.993275,-1.537820,Male,10-17,,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,,False,
Person search,2023-07-05T21:07:00+00:00,,,53.988550,-1.548060,Male,over 34,,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,,False,
