Age group,Self-defined ethnicity,Sex,Population
0-9,Asian,Female,"396,595"
0-9,Asian,Male,"411,629"
0-9,Black,Female,"170,692"
0-9,Black,Male,"174,957"
0-9,Mixed,Female,"241,493"
0-9,Mixed,Male,"251,476"
0-9,Other,Female,"85,219"
0-9,Other,Male,"89,908"
0-9,White,Female,"2,403,776"
0-9,White,Male,"2,530,914"
10-14,Asian,Female,"207,225"
10-14,Asian,Male,"216,795"
10-14,Black,Female,"104,277"
10-14,Black,Male,"105,715"
10-14,Mixed,Female,"108,241"
10-14,Mixed,Male,"112,208"
10-14,Other,Female,"45,013"
10-14,Other,Male,"48,086"
10-14,White,Female,"1,288,377"
10-14,White,Male,"1,360,092"
15-19,Asian,Female,"195,569"
15-19,Asian,Male,"207,864"
15-19,Black,Female,"100,280"
15-19,Black,Male,"104,111"
15-19,Mixed,Female,"86,594"
15-19,Mixed,Male,"88,357"
15-19,Other,Female,"41,290"
15-19,Other,Male,"47,129"
15-19,White,Female,"1,229,493"
15-19,White,Male,"1,293,978"
20-24,Asian,Female,"207,994"
20-24,Asian,Male,"216,402"
20-24,Black,Female,"91,719"
20-24,Black,Male,"91,322"
20-24,Mixed,Female,"77,209"
20-24,Mixed,Male,"73,882"
20-24,Other,Female,"43,629"
20-24,Other,Male,"46,284"
20-24,White,Female,"1,372,782"
20-24,White,Male,"1,380,903"
25-29,Asian,Female,"216,758"
25-29,Asian,Male,"199,397"
25-29,Black,Female,"90,430"
25-29,Black,Male,"80,229"
25-29,Mixed,Female,"70,164"
25-29,Mixed,Male,"63,320"
25-29,Other,Female,"50,813"
25-29,Other,Male,"49,279"
25-29,White,Female,"1,563,695"
25-29,White,Male,"1,517,654"
30-34,Asian,Female,"261,744"
30-34,Asian,Male,"224,046"
30-34,Black,Female,"94,192"
30-34,Black,Male,"76,790"
30-34,Mixed,Female,"65,605"
30-34,Mixed,Male,"57,079"
30-34,Other,Female,"59,760"
30-34,Other,Male,"56,149"
30-34,White,Female,"1,663,878"
30-34,White,Male,"1,589,557"
35-39,Asian,Female,"275,037"
35-39,Asian,Male,"243,162"
35-39,Black,Female,"97,918"
35-39,Black,Male,"77,347"
35-39,Mixed,Female,"52,576"
35-39,Mixed,Male,"46,401"
35-39,Other,Female,"60,281"
35-39,Other,Male,"58,631"
35-39,White,Female,"1,563,584"
35-39,White,Male,"1,506,682"
40-44,Asian,Female,"251,800"
40-44,Asian,Male,"238,342"
40-44,Black,Female,"100,740"
40-44,Black,Male,"79,484"
40-44,Mixed,Female,"41,547"
40-44,Mixed,Male,"36,049"
40-44,Other,Female,"54,570"
40-44,Other,Male,"56,425"
40-44,White,Female,"1,467,545"
40-44,White,Male,"1,429,255"
45-49,Asian,Female,"200,057"
45-49,Asian,Male,"200,819"
45-49,Black,Female,"92,128"
45-49,Black,Male,"78,082"
45-49,Mixed,Female,"32,958"
45-49,Mixed,Male,"28,995"
45-49,Other,Female,"44,197"
45-49,Other,Male,"47,541"
45-49,White,Female,"1,551,404"
45-49,White,Male,"1,512,540"
50-54,Asian,Female,"156,572"
50-54,Asian,Male,"156,089"
50-54,Black,Female,"95,743"
50-54,Black,Male,"84,035"
50-54,Mixed,Female,"31,372"
50-54,Mixed,Male,"27,372"
50-54,Other,Female,"36,424"
50-54,Other,Male,"39,737"
50-54,White,Female,"1,775,753"
50-54,White,Male,"1,720,336"
55-59,Asian,Female,"114,864"
55-59,Asian,Male,"109,012"
55-59,Black,Female,"84,790"
55-59,Black,Male,"75,892"
55-59,Mixed,Female,"26,222"
55-59,Mixed,Male,"22,506"
55-59,Other,Female,"27,960"
55-59,Other,Male,"31,322"
55-59,White,Female,"1,796,923"
55-59,White,Male,"1,739,550"
60-64,Asian,Female,"98,448"
60-64,Asian,Male,"93,358"
60-64,Black,Female,"53,527"
60-64,Black,Male,"49,326"
60-64,Mixed,Female,"16,005"
60-64,Mixed,Male,"14,005"
60-64,Other,Female,"21,941"
60-64,Other,Male,"23,823"
60-64,White,Female,"1,566,098"
60-64,White,Male,"1,519,073"
65-69,Asian,Female,"82,037"
65-69,Asian,Male,"74,546"
65-69,Black,Female,"28,596"
65-69,Black,Male,"24,077"
65-69,Mixed,Female,"9,399"
65-69,Mixed,Male,"7,787"
65-69,Other,Female,"16,956"
65-69,Other,Male,"17,332"
65-69,White,Female,"1,379,967"
65-69,White,Male,"1,304,440"
70-74,Asian,Female,"59,805"
70-74,Asian,Male,"45,933"
70-74,Black,Female,"18,107"
70-74,Black,Male,"12,426"
70-74,Mixed,Female,"6,561"
70-74,Mixed,Male,"4,941"
70-74,Other,Female,"12,291"
70-74,Other,Male,"11,921"
70-74,White,Female,"1,461,711"
70-74,White,Male,"1,344,288"
75-79,Asian,Female,"36,271"
75-79,Asian,Male,"29,209"
75-79,Black,Female,"16,288"
75-79,Black,Male,"9,867"
75-79,Mixed,Female,"4,428"
75-79,Mixed,Male,"3,619"
75-79,Other,Female,"7,536"
75-79,Other,Male,"7,081"
75-79,White,Female,"1,096,845"
75-79,White,Male,"959,127"
80-84,Asian,Female,"26,581"
80-84,Asian,Male,"24,236"
80-84,Black,Female,"14,761"
80-84,Black,Male,"10,539"
80-84,Mixed,Female,"2,685"
80-84,Mixed,Male,"2,226"
80-84,Other,Female,"5,079"
80-84,Other,Male,"4,319"
80-84,White,Female,"798,932"
80-84,White,Male,"625,718"
85,Asian,Female,"20,597"
85,Asian,Male,"16,625"
85,Black,Female,"12,505"
85,Black,Male,"8,388"
85,Mixed,Female,"3,031"
85,Mixed,Male,"1,664"
85,Other,Female,"4,593"
85,Other,Male,"3,095"
85,White,Female,"871,144"
85,White,Male,"513,236"
